Paper,Year,Citations
1985ApJ...292..371D,2009,1252
1985ApJ...292..371D,2010,1328
1985ApJ...292..371D,2011,1403
1985ApJ...292..371D,2012,1483
1985ApJ...292..371D,2013,1567
1985ApJ...292..371D,2014,1669
1985ApJ...292..371D,2015,1784
1985ApJ...292..371D,2016,1891
1985ApJ...292..371D,2017,2016
1985ApJ...292..371D,2018,2018
1985PhyD...16..285W,1985,2
1985PhyD...16..285W,1986,9
1985PhyD...16..285W,1987,27
1985PhyD...16..285W,1988,54
1985PhyD...16..285W,1989,88
1985PhyD...16..285W,1990,136
1985PhyD...16..285W,1991,182
1985PhyD...16..285W,1992,232
1985PhyD...16..285W,1993,288
1985PhyD...16..285W,1994,339
1985PhyD...16..285W,1995,402
1985PhyD...16..285W,1996,464
1985PhyD...16..285W,1997,550
1985PhyD...16..285W,1998,612
1985PhyD...16..285W,1999,675
1985PhyD...16..285W,2000,725
1985PhyD...16..285W,2001,783
1985PhyD...16..285W,2002,833
1985PhyD...16..285W,2003,873
1985PhyD...16..285W,2004,922
1985PhyD...16..285W,2005,976
1985PhyD...16..285W,2006,1048
1985PhyD...16..285W,2007,1117
1985PhyD...16..285W,2008,1197
1985PhyD...16..285W,2009,1269
1985PhyD...16..285W,2010,1336
1985PhyD...16..285W,2011,1403
1985PhyD...16..285W,2012,1469
1985PhyD...16..285W,2013,1547
1985PhyD...16..285W,2014,1618
1985PhyD...16..285W,2015,1695
1985PhyD...16..285W,2016,1786
1985PhyD...16..285W,2017,1891
1985PhyD...16..285W,2018,1895
1985PhLB..155...36K,1986,8
1985PhLB..155...36K,1987,21
1985PhLB..155...36K,1988,40
1985PhLB..155...36K,1989,59
1985PhLB..155...36K,1990,104
1985PhLB..155...36K,1991,156
1985PhLB..155...36K,1992,234
1985PhLB..155...36K,1993,315
1985PhLB..155...36K,1994,400
1985PhLB..155...36K,1995,445
1985PhLB..155...36K,1996,501
1985PhLB..155...36K,1997,547
1985PhLB..155...36K,1998,593
1985PhLB..155...36K,1999,643
1985PhLB..155...36K,2000,684
1985PhLB..155...36K,2001,728
1985PhLB..155...36K,2002,772
1985PhLB..155...36K,2003,817
1985PhLB..155...36K,2004,874
1985PhLB..155...36K,2005,926
1985PhLB..155...36K,2006,1003
1985PhLB..155...36K,2007,1055
1985PhLB..155...36K,2008,1108
1985PhLB..155...36K,2009,1156
1985PhLB..155...36K,2010,1199
1985PhLB..155...36K,2011,1253
1985PhLB..155...36K,2012,1317
1985PhLB..155...36K,2013,1379
1985PhLB..155...36K,2014,1439
1985PhLB..155...36K,2015,1503
1985PhLB..155...36K,2016,1584
1985PhLB..155...36K,2017,1636
1985PhR...121..263V,1985,2
1985PhR...121..263V,1986,46
1985PhR...121..263V,1987,128
1985PhR...121..263V,1988,218
1985PhR...121..263V,1989,305
1985PhR...121..263V,1990,396
1985PhR...121..263V,1991,467
1985PhR...121..263V,1992,551
1985PhR...121..263V,1993,627
1985PhR...121..263V,1994,710
1985PhR...121..263V,1995,794
1985PhR...121..263V,1996,848
1985PhR...121..263V,1997,894
1985PhR...121..263V,1998,937
1985PhR...121..263V,1999,964
1985PhR...121..263V,2000,990
1985PhR...121..263V,2001,1023
1985PhR...121..263V,2002,1042
1985PhR...121..263V,2003,1064
