Author,Year,Citations,Journal,
Davis,1999,737, The Astrophysical Journal,
Davis,2000,782, The Astrophysical Journal,
Davis,2001,821, The Astrophysical Journal,
Davis,2002,855, The Astrophysical Journal,
Davis,2003,893, The Astrophysical Journal,
Davis,2004,940, The Astrophysical Journal,
Davis,2005,995, The Astrophysical Journal,
Davis,2006,1045, The Astrophysical Journal,
Davis,2007,1106, The Astrophysical Journal,
Davis,2008,1172, The Astrophysical Journal,
Davis,2009,1252, The Astrophysical Journal,
Davis,2010,1328, The Astrophysical Journal,
Davis,2011,1403, The Astrophysical Journal,
Davis,2012,1483, The Astrophysical Journal,
Davis,2013,1567, The Astrophysical Journal,
Davis,2014,1669, The Astrophysical Journal,
Davis,2015,1784, The Astrophysical Journal,
Davis,2016,1891, The Astrophysical Journal,
Davis,2017,2016, The Astrophysical Journal,
Davis,2018,2018, The Astrophysical Journal,
Wolf,1985,2, Physica D Nonlinear Phenomena,
Wolf,1986,9, Physica D Nonlinear Phenomena,
Wolf,1987,27, Physica D Nonlinear Phenomena,
Wolf,1988,54, Physica D Nonlinear Phenomena,
Wolf,1989,88, Physica D Nonlinear Phenomena,
Wolf,1990,136, Physica D Nonlinear Phenomena,
Wolf,1991,182, Physica D Nonlinear Phenomena,
Wolf,1992,232, Physica D Nonlinear Phenomena,
Wolf,1993,288, Physica D Nonlinear Phenomena,
Wolf,1994,339, Physica D Nonlinear Phenomena,
Wolf,1995,402, Physica D Nonlinear Phenomena,
Wolf,1996,464, Physica D Nonlinear Phenomena,
Wolf,1997,550, Physica D Nonlinear Phenomena,
Wolf,1998,612, Physica D Nonlinear Phenomena,
Wolf,1999,675, Physica D Nonlinear Phenomena,
Wolf,2000,725, Physica D Nonlinear Phenomena,
Wolf,2001,783, Physica D Nonlinear Phenomena,
Wolf,2002,833, Physica D Nonlinear Phenomena,
Wolf,2003,873, Physica D Nonlinear Phenomena,
Wolf,2004,922, Physica D Nonlinear Phenomena,
Wolf,2005,976, Physica D Nonlinear Phenomena,
Wolf,2006,1048, Physica D Nonlinear Phenomena,
Wolf,2007,1117, Physica D Nonlinear Phenomena,
Wolf,2008,1197, Physica D Nonlinear Phenomena,
Wolf,2009,1269, Physica D Nonlinear Phenomena,
Wolf,2010,1336, Physica D Nonlinear Phenomena,
Wolf,2011,1403, Physica D Nonlinear Phenomena,
Wolf,2012,1469, Physica D Nonlinear Phenomena,
Wolf,2013,1547, Physica D Nonlinear Phenomena,
Wolf,2014,1618, Physica D Nonlinear Phenomena,
Wolf,2015,1695, Physica D Nonlinear Phenomena,
Wolf,2016,1786, Physica D Nonlinear Phenomena,
Wolf,2017,1891, Physica D Nonlinear Phenomena,
Wolf,2018,1895, Physica D Nonlinear Phenomena,
Kuzmin,1986,8, Physics Letters B,
Kuzmin,1987,21, Physics Letters B,
Kuzmin,1988,40, Physics Letters B,
Kuzmin,1989,59, Physics Letters B,
Kuzmin,1990,104, Physics Letters B,
Kuzmin,1991,156, Physics Letters B,
Kuzmin,1992,234, Physics Letters B,
Kuzmin,1993,315, Physics Letters B,
Kuzmin,1994,400, Physics Letters B,
Kuzmin,1995,445, Physics Letters B,
Kuzmin,1996,501, Physics Letters B,
Kuzmin,1997,547, Physics Letters B,
Kuzmin,1998,593, Physics Letters B,
Kuzmin,1999,643, Physics Letters B,
Kuzmin,2000,684, Physics Letters B,
Kuzmin,2001,728, Physics Letters B,
Kuzmin,2002,772, Physics Letters B,
Kuzmin,2003,817, Physics Letters B,
Kuzmin,2004,874, Physics Letters B,
Kuzmin,2005,926, Physics Letters B,
Kuzmin,2006,1003, Physics Letters B,
Kuzmin,2007,1055, Physics Letters B,
Kuzmin,2008,1108, Physics Letters B,
Kuzmin,2009,1156, Physics Letters B,
